Date,Open,High,Low,Close
12/31/2014,"89.95","90.30","89.86","90.28"
12/30/2014,"90.20","90.33","89.81","89.94"
12/29/2014,"90.05","90.27","89.79","90.20"
12/26/2014,"89.87","90.08","89.78","90.03"
12/25/2014,"90.06","90.08","89.81","89.92"
12/24/2014,"90.06","90.08","89.81","89.92"
12/23/2014,"89.78","90.16","89.63","90.07"
12/22/2014,"89.64","89.79","89.37","89.78"
12/19/2014,"89.24","89.65","89.18","89.60"
12/18/2014,"89.11","89.40","88.92","89.24"
12/17/2014,"88.02","89.14","87.90","89.08"
12/16/2014,"88.47","88.51","87.63","87.97"
12/15/2014,"88.20","88.63","88.17","88.43"
12/12/2014,"88.59","88.64","88.11","88.32"
12/11/2014,"87.98","88.79","87.91","88.55"
12/10/2014,"88.63","88.81","88.19","88.23"
12/09/2014,"88.69","88.69","88.69","88.69"
12/08/2014,"89.34","89.55","88.91","89.12"
12/05/2014,"88.62","89.47","88.58","89.36"
12/04/2014,"88.93","89.12","88.21","88.60"
12/03/2014,"88.61","89.01","88.58","88.96"
12/02/2014,"87.99","88.67","87.95","88.63"
12/01/2014,"88.30","88.45","87.78","87.98"
11/28/2014,"88.04","88.39","87.94","88.22"
11/27/2014,"87.66","88.03","87.53","88.01"
11/26/2014,"87.83","88.04","87.52","87.68"
11/25/2014,"88.18","88.33","87.82","87.90"
11/24/2014,"88.40","88.44","88.07","88.15"
11/21/2014,"87.64","88.39","87.45","88.31"
11/20/2014,"87.67","87.94","87.49","87.70"
11/19/2014,"87.70","87.78","87.35","87.69"
11/18/2014,"87.93","87.97","87.51","87.61"
11/17/2014,"87.60","88.00","87.18","88.00"
11/14/2014,"87.77","88.27","87.40","87.53"
11/13/2014,"87.83","87.88","87.62","87.77"
11/12/2014,"87.59","87.90","87.40","87.84"
11/11/2014,"87.76","88.06","87.37","87.59"
11/10/2014,"87.50","87.83","87.22","87.78"
11/07/2014,"88.08","88.19","87.47","87.64"
11/06/2014,"87.43","88.15","87.13","88.07"
11/05/2014,"87.00","87.61","86.94","87.48"
11/04/2014,"87.28","87.30","86.88","87.00"
11/03/2014,"87.09","87.41","87.02","87.29"
10/31/2014,"86.17","87.13","86.15","86.92"
10/30/2014,"85.98","86.49","85.99","86.17"
10/29/2014,"85.40","86.05","85.19","86.00"
10/28/2014,"85.57","85.68","85.24","85.41"
10/27/2014,"85.67","85.71","85.41","85.58"
10/24/2014,"85.83","85.91","85.54","85.73"
10/23/2014,"85.75","85.94","85.66","85.83"
10/22/2014,"85.40","85.79","85.23","85.75"
10/21/2014,"85.03","85.41","84.74","85.40"
10/20/2014,"85.32","85.38","84.91","85.02"
10/17/2014,"84.91","85.25","84.76","85.20"
10/16/2014,"84.90","85.43","84.74","84.96"
10/15/2014,"85.90","86.01","84.47","84.86"
10/14/2014,"85.24","85.88","85.28","85.88"
10/13/2014,"85.68","85.75","85.07","85.22"
10/10/2014,"85.57","85.98","85.40","85.91"
10/09/2014,"85.31","85.67","84.94","85.55"
10/08/2014,"85.63","85.92","85.20","85.32"
10/07/2014,"85.79","86.10","85.55","85.66"
10/06/2014,"86.68","86.68","85.64","85.78"
10/03/2014,"85.61","86.75","85.63","86.64"
10/02/2014,"85.88","85.90","85.45","85.61"
10/01/2014,"85.91","86.18","85.78","85.91"
09/30/2014,"85.60","86.22","85.49","85.93"
09/29/2014,"85.70","85.80","85.46","85.62"
09/26/2014,"85.14","85.69","85.11","85.62"
09/25/2014,"85.10","85.49","85.05","85.18"
09/24/2014,"84.71","85.09","84.60","85.06"
09/23/2014,"84.68","84.76","84.37","84.70"
09/22/2014,"84.74","84.86","84.52","84.70"
09/19/2014,"84.27","84.80","84.23","84.74"
09/18/2014,"84.80","84.74","84.22","84.29"
09/17/2014,"84.12","84.78","83.94","84.73"
09/16/2014,"84.25","84.37","83.86","84.11"
09/15/2014,"84.17","84.41","84.15","84.25"
09/12/2014,"84.27","84.41","84.08","84.17"
09/11/2014,"84.19","84.34","84.07","84.27"
09/10/2014,"84.16","84.42","84.05","84.20"
09/09/2014,"84.30","84.52","84.04","84.17"
09/08/2014,"83.84","84.35","83.80","84.30"
09/05/2014,"83.86","83.94","83.56","83.76"
