Date,Open,High,Low,Close
12/31/2018,"96.40","96.51","96.00","96.17"
12/28/2018,"96.51","96.52","96.19","96.40"
12/27/2018,"96.92","96.94","96.41","96.48"
12/26/2018,"96.58","97.12","96.53","97.05"
12/25/2018,"96.94","96.94","96.38","96.55"
12/24/2018,"96.94","96.94","96.38","96.55"
12/21/2018,"96.39","97.05","96.25","96.96"
12/20/2018,"96.99","97.04","96.17","96.28"
12/19/2018,"96.91","97.10","96.55","97.04"
12/18/2018,"97.13","97.17","96.70","97.10"
12/17/2018,"97.43","97.46","97.05","97.10"
12/14/2018,"97.09","97.71","97.08","97.44"
12/13/2018,"97.04","97.29","96.88","97.06"
12/12/2018,"97.38","97.49","96.89","97.04"
12/11/2018,"97.18","97.55","96.87","97.39"
12/10/2018,"96.72","97.24","96.36","97.22"
12/07/2018,"96.80","96.92","96.51","96.51"
12/06/2018,"97.01","97.21","96.55","96.81"
12/05/2018,"97.01","97.20","96.83","97.07"
12/04/2018,"96.94","97.13","96.38","96.97"
12/03/2018,"97.13","97.16","96.71","97.04"
11/30/2018,"96.76","97.31","96.71","97.27"
11/29/2018,"96.85","97.01","96.63","96.78"
11/28/2018,"97.37","97.54","96.69","96.79"
11/27/2018,"97.03","97.50","96.97","97.37"
11/26/2018,"96.93","97.10","96.66","97.07"
11/23/2018,"96.51","96.98","96.40","96.92"
11/22/2018,"96.72","96.72","96.32","96.71"
11/21/2018,"96.82","96.87","96.50","96.71"
11/20/2018,"96.20","96.89","96.04","96.84"
11/19/2018,"96.43","96.57","96.12","96.19"
11/16/2018,"97.05","97.06","96.40","96.47"
11/15/2018,"97.01","97.39","96.77","96.93"
11/14/2018,"97.03","97.41","96.75","96.80"
11/13/2018,"97.60","97.66","96.94","97.30"
11/12/2018,"97.05","97.69","96.97","97.54"
11/09/2018,"96.63","97.01","96.62","96.91"
11/08/2018,"96.19","96.74","96.07","96.72"
11/07/2018,"95.99","96.46","95.68","96.00"
11/06/2018,"96.33","96.45","96.15","96.32"
11/05/2018,"96.44","96.68","96.25","96.28"
11/02/2018,"96.31","96.59","95.99","96.54"
11/01/2018,"97.08","97.12","96.20","96.28"
10/31/2018,"96.99","97.20","96.88","97.13"
10/30/2018,"96.66","97.02","96.62","97.01"
10/29/2018,"96.44","96.70","96.35","96.58"
10/26/2018,"96.59","96.86","96.29","96.36"
10/25/2018,"96.36","96.73","96.21","96.68"
10/24/2018,"95.92","96.53","95.91","96.43"
10/23/2018,"96.03","96.16","95.81","95.96"
10/22/2018,"95.66","96.09","95.47","96.01"
10/19/2018,"95.95","96.09","95.54","95.71"
10/18/2018,"95.66","95.99","95.49","95.90"
10/17/2018,"95.09","95.66","95.06","95.58"
10/16/2018,"95.05","95.20","94.79","95.05"
10/15/2018,"95.35","95.37","94.96","95.06"
10/12/2018,"95.04","95.37","94.95","95.22"
10/11/2018,"95.43","95.43","94.99","95.02"
10/10/2018,"95.59","95.79","95.38","95.51"
10/09/2018,"95.75","96.16","95.64","95.67"
10/08/2018,"95.62","96.03","95.59","95.76"
10/05/2018,"95.76","95.95","95.52","95.62"
10/04/2018,"96.05","96.12","95.55","95.75"
10/03/2018,"95.46","96.12","95.26","95.76"
10/02/2018,"95.30","95.74","95.26","95.51"
10/01/2018,"95.11","95.37","95.00","95.30"
09/28/2018,"95.02","95.37","94.92","95.13"
09/27/2018,"94.26","95.01","94.21","94.89"
09/26/2018,"94.17","94.40","93.95","94.19"
09/25/2018,"94.25","94.37","94.01","94.13"
09/24/2018,"94.23","94.37","93.84","94.19"
09/21/2018,"93.89","94.33","93.81","94.22"
