Date,Open,High,Low,Close
12/31/2021,"95.99","96.11","95.57","95.97"
12/30/2021,"95.89","96.22","95.86","95.97"
12/29/2021,"96.15","96.40","95.76","95.93"
12/28/2021,"96.07","96.28","96.00","96.20"
12/27/2021,"96.15","96.26","96.05","96.09"
12/24/2021,"96.03","96.28","95.99","96.02"
12/23/2021,"96.03","96.28","95.99","96.06"
12/22/2021,"96.47","96.60","96.02","96.08"
12/21/2021,"96.54","96.64","96.34","96.49"
12/20/2021,"96.67","96.69","96.34","96.55"
12/17/2021,"96.00","96.69","95.88","96.57"
12/16/2021,"96.43","96.45","95.85","96.04"
12/15/2021,"96.55","96.91","96.30","96.51"
12/14/2021,"96.35","96.59","96.10","96.57"
12/13/2021,"96.09","96.45","96.05","96.32"
12/10/2021,"96.22","96.43","95.98","96.10"
12/09/2021,"95.96","96.34","95.97","96.27"
12/08/2021,"96.26","96.38","95.85","95.89"
12/07/2021,"96.30","96.59","96.17","96.37"
12/06/2021,"96.16","96.43","96.13","96.33"
12/03/2021,"96.12","96.45","95.97","96.12"
12/02/2021,"96.07","96.18","95.83","96.16"
12/01/2021,"95.94","96.14","95.67","96.03"
11/30/2021,"96.22","96.64","95.52","95.99"
11/29/2021,"96.16","96.45","96.14","96.34"
11/26/2021,"96.72","96.77","95.75","96.09"
11/25/2021,"96.81","96.82","96.65","96.77"
11/24/2021,"96.53","96.94","96.44","96.88"
11/23/2021,"96.46","96.61","96.31","96.49"
11/22/2021,"96.04","96.55","96.04","96.55"
11/19/2021,"95.59","96.24","95.58","96.03"
11/18/2021,"95.80","95.84","95.52","95.54"
11/17/2021,"95.94","96.24","95.73","95.83"
11/16/2021,"95.47","95.98","95.40","95.92"
11/15/2021,"95.12","95.60","94.97","95.41"
11/12/2021,"95.18","95.27","95.00","95.13"
11/11/2021,"94.84","95.20","94.84","95.18"
11/10/2021,"93.98","94.90","93.97","94.85"
11/09/2021,"94.09","94.15","93.88","93.96"
11/08/2021,"94.25","94.38","93.99","94.05"
11/05/2021,"94.34","94.62","94.19","94.32"
11/04/2021,"93.86","94.47","93.83","94.35"
11/03/2021,"94.12","94.21","93.82","93.86"
11/02/2021,"93.93","94.13","93.82","94.09"
11/01/2021,"94.14","94.31","93.86","93.88"
10/29/2021,"93.36","94.30","93.32","94.12"
10/28/2021,"93.88","93.97","93.28","93.35"
10/27/2021,"93.97","94.01","93.69","93.80"
