Date,Open,High,Low,Close
12/30/2016,"102.13","102.59","101.91","102.21"
12/29/2016,"103.21","103.25","102.60","102.65"
12/28/2016,"103.02","103.63","102.87","103.22"
12/27/2016,"102.97","103.15","102.95","103.04"
12/26/2016,"103.08","103.23","102.88","102.92"
12/23/2016,"103.08","103.23","102.88","102.92"
12/22/2016,"103.05","103.14","102.59","103.09"
12/21/2016,"103.26","103.38","102.77","103.00"
12/20/2016,"103.15","103.65","103.03","103.25"
12/19/2016,"102.92","103.21","102.52","103.13"
12/16/2016,"103.16","103.27","102.62","102.95"
12/15/2016,"102.23","103.56","102.16","103.10"
12/14/2016,"101.04","102.35","100.73","102.20"
12/13/2016,"100.89","101.16","100.75","101.06"
12/12/2016,"101.68","101.78","100.84","100.92"
12/09/2016,"101.06","101.74","101.01","101.59"
12/08/2016,"100.21","101.25","99.43","101.09"
12/07/2016,"100.49","100.60","100.13","100.18"
12/06/2016,"100.13","100.58","99.98","100.49"
12/05/2016,"100.65","101.54","99.85","100.15"
12/02/2016,"100.88","101.11","100.62","100.66"
12/01/2016,"101.52","101.59","100.87","100.95"
11/30/2016,"100.85","101.83","100.84","101.53"
11/29/2016,"101.18","101.64","100.86","100.99"
11/28/2016,"101.48","101.60","100.64","101.16"
11/25/2016,"101.84","101.92","101.21","101.50"
11/24/2016,"101.82","102.05","101.43","101.69"
11/23/2016,"100.95","101.91","100.89","101.71"
11/22/2016,"100.77","101.32","100.65","101.00"
11/21/2016,"101.30","101.40","100.74","100.88"
11/18/2016,"100.97","101.48","100.83","101.21"
11/17/2016,"100.26","101.01","99.96","100.95"
11/16/2016,"100.18","100.57","99.90","100.30"
11/15/2016,"99.80","100.26","99.45","100.14"
11/14/2016,"99.00","100.22","99.21","99.97"
11/11/2016,"98.85","99.13","98.54","98.99"
11/10/2016,"98.61","99.08","98.31","98.86"
11/09/2016,"97.68","98.70","95.89","98.62"
11/08/2016,"97.74","98.00","97.55","97.97"
11/07/2016,"96.89","97.87","97.22","97.74"
11/04/2016,"97.17","97.35","96.89","96.90"
11/03/2016,"97.37","97.46","97.04","97.15"
11/02/2016,"97.75","97.80","97.18","97.38"
11/01/2016,"98.39","98.48","97.64","97.74"
10/31/2016,"98.32","98.70","98.29","98.36"
10/28/2016,"98.92","98.94","98.24","98.35"
10/27/2016,"98.62","99.03","98.50","98.93"
10/26/2016,"98.70","98.84","98.34","98.62"
10/25/2016,"98.77","99.12","98.61","98.73"
10/24/2016,"98.63","98.85","98.54","98.75"
10/21/2016,"98.32","98.81","98.31","98.70"
10/20/2016,"97.85","98.40","97.66","98.33"
10/19/2016,"97.90","97.97","97.63","97.85"
10/18/2016,"97.87","97.96","97.61","97.88"
10/17/2016,"98.06","98.17","97.81","97.88"
10/14/2016,"97.54","98.12","97.51","98.09"
10/13/2016,"97.99","98.13","97.50","97.55"
10/12/2016,"97.54","98.04","97.46","97.98"
10/11/2016,"96.91","97.76","96.92","97.70"
10/10/2016,"96.47","96.97","96.46","96.89"
10/07/2016,"97.12","97.19","96.40","96.63"
10/06/2016,"96.14","96.77","96.12","96.69"
10/05/2016,"96.10","96.31","95.96","96.17"
10/04/2016,"95.73","96.44","95.76","96.14"
10/03/2016,"95.42","95.80","95.46","95.75"
09/30/2016,"95.51","95.96","95.34","95.42"
09/29/2016,"95.37","95.68","95.33","95.53"
09/28/2016,"95.45","95.74","95.37","95.43"
09/27/2016,"95.32","95.67","95.24","95.47"
09/26/2016,"95.50","95.53","95.13","95.30"
09/23/2016,"95.36","95.68","95.34","95.51"
09/22/2016,"95.51","95.53","95.05","95.37"
09/21/2016,"96.00","96.33","95.45","95.50"
09/20/2016,"95.83","96.04","95.60","96.00"
09/19/2016,"96.04","96.06","95.65","95.87"
