datetime,market_price_usd,24h,1d_1w,1w_1m,1m_3m,3m_6m,6m_12m,1y_2y,2y_3y,3y_5y,5y_7y,7y_10y,10y
2010-08-17,0.07,0.011293660114430504,0.04164775883685199,0.12034869945133199,0.20257495730832795,0.14978623275358138,0.20654288124219536,0.26780581029331724,0.0,0.0,0.0,0.0,0.0
2010-08-18,0.07,0.01129564602706339,0.03901931569387573,0.12104911457226507,0.20580599228531524,0.14852385378418692,0.20705506392884485,0.2672510137084839,0.0,0.0,0.0,0.0,0.0
2010-08-19,0.07,0.007131468968546445,0.04262706002485372,0.12018277286315748,0.19916594732624987,0.15625908001825764,0.20781968570524512,0.26681398509372506,0.0,0.0,0.0,0.0,0.0
2010-08-20,0.07,0.008813583040122532,0.038685650063771115,0.12149524527644785,0.2011936757888667,0.15348507731279196,0.20975939135042415,0.266567377167612,0.0,0.0,0.0,0.0,0.0
2010-08-21,0.07,0.012712314481754774,0.03716802149402973,0.11841180540073297,0.20269441970968213,0.15112907331489842,0.2110718395932438,0.2668125260056948,0.0,0.0,0.0,0.0,0.0
2010-08-22,0.06,0.006867787488174278,0.044798215956939946,0.11714530588567346,0.20403371324509725,0.14917781035245084,0.21193415015043238,0.26604301692126614,0.0,0.0,0.0,0.0,0.0
2010-08-23,0.07,0.0075758235893528016,0.03815417386245687,0.1160908412895092,0.2120656108601512,0.14806672401544377,0.21215575977949983,0.2658910666036198,0.0,0.0,0.0,0.0,0.0
2010-08-24,0.07,0.007853015889314812,0.037844351765299385,0.1138128304911532,0.21515585596176265,0.14607806322727987,0.21348356177601346,0.2657723208892102,0.0,0.0,0.0,0.0,0.0
2010-08-25,0.07,0.006673305259847954,0.03611719347396599,0.11531088768989324,0.21610550310385238,0.14492536117716678,0.2151736360660478,0.2656941132292608,0.0,0.0,0.0,0.0,0.0
2010-08-26,0.07,0.007167549009632062,0.03478149137446944,0.11547733688924619,0.21699309035110514,0.14494455684894944,0.21498561447033027,0.2656503610563014,0.0,0.0,0.0,0.0,0.0
2010-08-27,0.06,0.010276969521385817,0.031756356613145395,0.1157002464681823,0.2176291163811086,0.1431428763448794,0.21582014788842702,0.2656742867829049,0.0,0.0,0.0,0.0,0.0
2010-08-28,0.06,0.006544785355786155,0.029634805558846844,0.1217570161472974,0.2177869311790075,0.14238192086610468,0.21626029939681482,0.2656342414961762,0.0,0.0,0.0,0.0,0.0
