Date,Open,High,Low,Close
12/31/2020,"89.93","89.93","89.93","89.93"
12/30/2020,"89.98","89.98","89.56","89.68"
12/29/2020,"90.21","90.23","89.85","89.99"
12/28/2020,"90.22","90.38","89.98","90.34"
12/25/2020,"90.33","90.42","90.22","90.22"
12/24/2020,"90.28","90.38","90.15","90.32"
12/23/2020,"90.52","90.67","90.16","90.41"
12/22/2020,"90.09","90.72","90.06","90.65"
12/21/2020,"90.15","91.02","89.92","90.04"
12/18/2020,"89.83","90.13","89.83","90.02"
12/17/2020,"90.27","90.27","89.73","89.82"
12/16/2020,"90.49","90.70","90.13","90.45"
12/15/2020,"90.69","90.82","90.42","90.47"
12/14/2020,"90.76","90.98","90.42","90.71"
12/11/2020,"90.74","91.04","90.62","90.98"
12/10/2020,"91.06","91.15","90.67","90.82"
12/09/2020,"90.92","91.20","90.69","91.09"
12/08/2020,"90.90","91.02","90.75","90.97"
12/07/2020,"90.79","91.24","90.62","90.79"
12/04/2020,"90.71","90.87","90.48","90.70"
12/03/2020,"91.06","91.09","90.51","90.71"
12/02/2020,"91.19","91.50","90.99","91.12"
12/01/2020,"91.95","91.95","91.16","91.31"
11/30/2020,"91.78","92.05","91.51","91.87"
11/27/2020,"92.02","92.05","91.76","91.79"
11/26/2020,"91.95","92.17","91.85","91.99"
11/25/2020,"92.11","92.26","91.93","91.99"
11/24/2020,"92.53","92.56","92.13","92.23"
11/23/2020,"92.37","92.80","92.02","92.51"
11/20/2020,"92.34","92.43","92.21","92.39"
11/19/2020,"92.56","92.72","92.24","92.29"
11/18/2020,"92.44","92.51","92.21","92.32"
11/17/2020,"92.49","92.61","92.27","92.42"
11/16/2020,"92.72","92.84","92.46","92.64"
11/13/2020,"92.95","93.01","92.71","92.76"
11/12/2020,"93.01","93.14","92.78","92.96"
11/11/2020,"92.70","93.21","92.61","93.04"
11/10/2020,"92.76","92.97","92.60","92.75"
11/09/2020,"92.24","92.96","92.13","92.73"
11/06/2020,"92.57","92.82","92.18","92.23"
11/05/2020,"93.34","93.55","92.49","92.53"
11/04/2020,"93.09","94.30","93.09","93.41"
11/03/2020,"94.05","94.05","93.29","93.55"
11/02/2020,"93.89","94.29","93.89","94.13"
10/30/2020,"93.92","94.08","93.65","94.04"
10/29/2020,"93.46","94.10","93.34","93.96"
10/28/2020,"93.15","93.65","93.05","93.41"
10/27/2020,"93.07","93.13","92.79","92.94"
10/26/2020,"92.76","93.11","92.74","93.05"
10/23/2020,"92.93","93.13","92.66","92.77"
10/22/2020,"92.67","92.97","92.61","92.95"
10/21/2020,"93.05","93.07","92.47","92.61"
10/20/2020,"93.42","93.50","93.00","93.07"
10/19/2020,"93.71","93.77","93.21","93.43"
10/16/2020,"93.80","93.88","93.53","93.68"
10/15/2020,"93.43","93.90","93.37","93.86"
10/14/2020,"93.54","93.67","93.25","93.38"
10/13/2020,"93.03","93.60","93.03","93.53"
10/12/2020,"93.06","93.24","93.01","93.07"
10/09/2020,"93.56","93.59","93.01","93.06"
10/08/2020,"93.61","93.78","93.50","93.61"
10/07/2020,"93.83","93.90","93.56","93.63"
10/06/2020,"93.44","93.85","93.34","93.69"
10/05/2020,"93.87","93.87","93.37","93.51"
10/02/2020,"93.73","94.03","93.69","93.84"
10/01/2020,"93.80","93.92","93.53","93.71"
09/30/2020,"93.85","94.19","93.67","93.89"
09/29/2020,"94.24","94.30","93.82","93.89"
09/28/2020,"94.60","94.64","94.15","94.28"
09/25/2020,"94.32","94.74","94.19","94.64"
09/24/2020,"94.38","94.59","94.20","94.35"
09/23/2020,"93.99","94.43","93.93","94.39"
09/22/2020,"93.55","94.08","93.47","93.99"
09/21/2020,"92.97","93.78","92.75","93.66"
09/18/2020,"92.86","93.01","92.77","92.93"
09/17/2020,"93.15","93.59","92.87","92.97"
09/16/2020,"93.08","93.28","92.78","93.21"
09/15/2020,"93.06","93.14","92.79","93.05"
09/14/2020,"93.29","93.33","92.87","93.05"
09/11/2020,"93.33","93.38","93.10","93.33"
09/10/2020,"93.23","93.45","92.70","93.34"
09/09/2020,"93.58","93.66","93.14","93.26"
09/08/2020,"93.05","93.52","93.00","93.45"
09/07/2020,"92.98","93.09","92.81","93.07"
09/04/2020,"92.80","93.24","92.66","92.72"
09/03/2020,"92.66","93.07","92.65","92.74"
09/02/2020,"92.28","92.87","92.21","92.85"
09/01/2020,"92.18","92.40","91.75","92.34"
08/31/2020,"92.30","92.48","91.99","92.14"
08/28/2020,"93.02","93.10","92.20","92.37"
08/27/2020,"92.85","93.32","92.42","93.00"
08/26/2020,"93.02","93.36","92.85","93.01"
08/25/2020,"93.28","93.35","92.97","93.02"
08/24/2020,"93.20","93.34","92.84","93.30"
08/21/2020,"92.72","93.47","92.58","93.25"
08/20/2020,"92.96","93.24","92.73","92.79"
08/19/2020,"92.28","93.05","92.15","92.89"
08/18/2020,"92.82","92.82","92.13","92.27"
08/17/2020,"93.07","93.12","92.77","92.85"
08/14/2020,"93.22","93.41","93.02","93.10"
08/13/2020,"93.37","93.39","92.93","93.34"
08/12/2020,"93.68","93.91","93.27","93.44"
08/11/2020,"93.60","93.74","93.17","93.63"
08/10/2020,"93.39","93.70","93.30","93.58"
08/07/2020,"92.81","93.62","92.76","93.44"
08/06/2020,"92.77","93.09","92.52","92.79"
08/05/2020,"93.23","93.25","92.56","92.87"
08/04/2020,"93.58","93.83","93.23","93.38"
08/03/2020,"93.46","93.99","93.32","93.35"
07/31/2020,"92.82","93.54","92.55","93.35"
07/30/2020,"93.32","93.68","92.93","93.02"
07/29/2020,"93.75","93.80","93.18","93.45"
07/28/2020,"93.58","94.01","93.49","93.70"
07/27/2020,"94.35","94.42","93.48","93.67"
07/24/2020,"94.77","94.83","94.33","94.44"
07/23/2020,"94.98","95.18","94.59","94.69"
07/22/2020,"95.13","95.41","94.83","94.99"
07/21/2020,"95.75","95.92","95.05","95.12"
07/20/2020,"96.01","96.18","95.73","95.83"
07/17/2020,"96.28","96.33","95.90","95.94"
07/16/2020,"96.00","96.40","95.89","96.35"
07/15/2020,"96.17","96.25","95.78","96.08"
07/14/2020,"96.54","96.70","96.18","96.26"
07/13/2020,"96.66","96.68","96.27","96.46"
07/10/2020,"96.75","96.97","96.44","96.65"
07/09/2020,"96.45","96.81","96.24","96.70"
07/08/2020,"96.99","97.05","96.40","96.43"
07/07/2020,"96.75","97.15","96.60","96.88"
07/06/2020,"97.15","97.20","96.57","96.73"
07/03/2020,"97.22","97.36","97.12","97.17"
07/02/2020,"97.15","97.34","96.81","97.32"
07/01/2020,"97.39","97.62","97.03","97.20"
06/30/2020,"97.40","97.80","97.23","97.39"
06/29/2020,"97.50","97.65","97.11","97.54"
06/26/2020,"97.35","97.68","97.26","97.43"
06/25/2020,"97.24","97.60","97.16","97.43"
06/24/2020,"96.66","97.24","96.55","97.15"
06/23/2020,"96.93","97.25","96.39","96.65"
06/22/2020,"97.66","97.74","97.01","97.04"
06/19/2020,"97.42","97.72","97.16","97.62"
06/18/2020,"97.08","97.58","96.95","97.42"
06/17/2020,"97.01","97.34","96.80","97.16"
06/16/2020,"96.56","97.25","96.43","96.96"
06/15/2020,"97.09","97.39","96.60","96.71"
06/12/2020,"96.81","97.45","96.49","97.32"
06/11/2020,"96.09","96.83","95.95","96.73"
06/10/2020,"96.43","96.46","95.72","95.96"
06/09/2020,"96.63","97.06","96.23","96.32"
06/08/2020,"96.84","97.07","96.60","96.62"
06/05/2020,"96.74","97.03","96.44","96.94"
06/04/2020,"97.32","97.63","96.57","96.68"
06/03/2020,"97.57","97.63","97.19","97.28"
06/02/2020,"97.84","97.91","97.43","97.67"
06/01/2020,"98.30","98.32","97.79","97.83"
05/29/2020,"98.52","98.55","97.95","98.34"
05/28/2020,"98.91","99.09","98.35","98.38"
05/27/2020,"99.02","99.34","98.72","99.06"
05/26/2020,"99.77","99.77","98.90","98.91"
05/25/2020,"99.80","99.98","99.69","99.86"
05/22/2020,"99.42","99.87","99.39","99.86"
05/21/2020,"99.18","99.51","99.02","99.37"
05/20/2020,"99.55","99.56","99.00","99.12"
05/19/2020,"99.62","99.73","99.23","99.37"
05/18/2020,"100.36","100.47","99.58","99.67"
05/15/2020,"100.26","100.49","100.08","100.40"
05/14/2020,"100.19","100.56","100.15","100.47"
05/13/2020,"100.01","100.28","99.58","100.24"
05/12/2020,"100.23","100.44","99.66","99.93"
05/11/2020,"99.12","100.28","99.67","100.24"
05/08/2020,"99.84","99.94","99.10","99.73"
05/07/2020,"100.21","100.40","99.81","99.89"
05/06/2020,"99.80","100.20","99.75","100.09"
05/05/2020,"99.51","99.97","99.30","99.71"
05/04/2020,"98.57","99.60","99.09","99.48"
05/01/2020,"99.13","99.21","98.65","99.08"
04/30/2020,"99.48","99.73","98.81","99.02"
04/29/2020,"99.88","99.89","99.47","99.57"
04/28/2020,"100.06","100.21","99.45","99.87"
04/27/2020,"100.23","100.32","99.83","100.04"
04/24/2020,"100.50","100.87","100.19","100.38"
04/23/2020,"100.45","100.69","100.04","100.43"
04/22/2020,"100.21","100.50","99.90","100.39"
04/21/2020,"99.94","100.48","99.93","100.26"
04/20/2020,"99.71","100.07","99.65","99.96"
04/17/2020,"99.86","100.29","99.62","99.78"
04/16/2020,"99.63","100.30","99.61","100.03"
04/15/2020,"98.82","99.98","98.82","99.46"
04/14/2020,"99.38","99.43","98.83","98.89"
04/13/2020,"99.49","99.63","99.14","99.35"
04/10/2020,"99.58","99.63","99.37","99.52"
04/09/2020,"100.13","100.30","99.36","99.52"
04/08/2020,"99.91","100.43","99.90","100.12"
