Date,Open,High,Low,Close
12/31/2015,"98.22","98.78","98.18","98.69"
12/30/2015,"98.21","98.41","98.11","98.26"
12/29/2015,"97.90","98.41","97.80","98.24"
12/28/2015,"97.87","98.03","97.81","97.95"
12/25/2015,"98.33","98.38","97.86","97.90"
12/24/2015,"98.33","98.38","97.86","97.90"
12/23/2015,"98.21","98.60","98.19","98.40"
12/22/2015,"98.46","98.51","98.00","98.22"
12/21/2015,"99.02","98.84","98.29","98.47"
12/18/2015,"99.02","99.18","98.64","98.72"
12/17/2015,"98.56","99.29","98.53","99.05"
12/16/2015,"98.19","98.60","97.66","98.58"
12/15/2015,"97.64","98.29","97.19","98.13"
12/14/2015,"97.98","97.93","97.28","97.58"
12/11/2015,"97.98","98.10","97.33","97.63"
12/10/2015,"97.41","97.99","97.36","97.93"
12/09/2015,"98.45","98.52","97.22","97.39"
12/08/2015,"98.73","98.76","98.33","98.40"
12/07/2015,"97.83","98.90","98.30","98.75"
12/04/2015,"97.83","98.61","97.75","98.25"
12/03/2015,"100.01","100.47","97.59","97.92"
12/02/2015,"99.83","100.51","99.80","100.02"
12/01/2015,"100.23","100.26","99.72","99.84"
11/30/2015,"99.86","100.31","100.05","100.20"
11/27/2015,"99.86","100.20","99.66","100.08"
11/26/2015,"99.74","99.91","99.71","99.87"
11/25/2015,"99.56","100.17","99.31","99.76"
11/24/2015,"99.68","99.79","99.47","99.61"
11/23/2015,"99.09","100.00","99.53","99.76"
11/20/2015,"99.09","99.65","99.00","99.61"
11/19/2015,"99.41","99.48","98.74","99.00"
11/18/2015,"99.65","99.85","99.31","99.55"
11/17/2015,"99.40","99.75","99.36","99.67"
11/16/2015,"98.57","99.46","98.87","99.39"
11/13/2015,"98.57","99.21","98.53","98.80"
11/12/2015,"98.82","99.29","98.43","98.56"
11/11/2015,"99.10","99.24","98.78","98.85"
11/10/2015,"99.01","99.50","98.94","99.21"
11/09/2015,"97.95","99.26","98.82","98.99"
11/06/2015,"97.95","99.35","97.89","99.15"
11/05/2015,"97.94","98.14","97.75","97.99"
11/04/2015,"97.20","98.05","97.17","97.89"
11/03/2015,"96.90","97.48","96.77","97.18"
11/02/2015,"97.19","96.97","96.64","96.91"
10/30/2015,"97.19","97.35","96.58","96.92"
10/29/2015,"97.61","97.69","97.19","97.22"
10/28/2015,"96.95","97.82","96.47","97.62"
10/27/2015,"96.80","96.97","96.58","96.91"
10/26/2015,"96.40","97.08","96.68","96.82"
10/23/2015,"96.40","97.20","96.15","97.04"
10/22/2015,"95.04","96.54","94.94","96.40"
10/21/2015,"94.85","95.08","94.72","95.05"
10/20/2015,"94.93","94.95","94.59","94.86"
10/19/2015,"94.47","95.00","94.55","94.92"
10/16/2015,"94.47","94.77","94.37","94.73"
10/15/2015,"93.95","94.59","93.81","94.44"
10/14/2015,"94.76","94.76","93.85","93.91"
10/13/2015,"94.90","94.98","94.54","94.76"
10/12/2015,"95.23","94.90","94.62","94.88"
10/09/2015,"95.23","95.34","94.69","94.89"
10/08/2015,"95.57","95.61","94.98","95.30"
10/07/2015,"95.47","95.70","95.33","95.57"
10/06/2015,"96.05","96.16","95.40","95.46"
10/05/2015,"96.14","96.17","95.45","96.08"
10/02/2015,"96.14","96.38","95.22","95.92"
10/01/2015,"96.27","96.49","95.97","96.10"
09/30/2015,"95.91","96.41","95.85","96.28"
09/29/2015,"96.02","96.24","95.71","95.90"
09/28/2015,"96.24","96.50","95.90","96.01"
09/25/2015,"96.24","96.70","96.12","96.26"
09/24/2015,"96.24","96.33","95.46","96.30"
09/23/2015,"96.31","96.55","96.02","96.20"
09/22/2015,"95.92","96.40","95.76","96.32"
09/21/2015,"94.58","95.98","95.04","95.93"
09/18/2015,"94.58","95.38","94.06","95.15"
09/17/2015,"95.32","95.39","94.36","94.54"
09/16/2015,"95.58","95.85","95.16","95.33"
09/15/2015,"95.31","95.68","95.13","95.59"
09/14/2015,"95.49","95.45","94.91","95.28"
09/11/2015,"95.49","95.69","95.12","95.18"
09/10/2015,"95.92","96.20","95.40","95.51"
09/09/2015,"95.84","96.41","95.85","95.95"
09/08/2015,"96.14","96.24","95.73","95.86"
09/07/2015,"96.41","96.58","95.97","96.22"
09/04/2015,"96.41","96.58","95.97","96.22"
09/03/2015,"95.94","96.62","95.79","96.41"
09/02/2015,"95.41","95.98","95.42","95.97"
09/01/2015,"95.91","95.87","95.19","95.38"
08/31/2015,"95.77","96.25","95.62","95.93"
08/28/2015,"95.77","96.32","95.38","96.15"
08/27/2015,"95.21","96.03","94.99","95.77"
08/26/2015,"93.94","95.44","93.72","95.28"
08/25/2015,"93.39","94.69","93.49","93.96"
08/24/2015,"95.81","94.96","92.62","93.42"
08/21/2015,"95.81","95.82","94.80","94.80"
08/20/2015,"96.46","96.58","95.71","95.77"
08/19/2015,"97.00","97.08","96.34","96.45"
08/18/2015,"96.84","97.07","96.68","97.00"
08/17/2015,"96.40","96.94","96.51","96.82"
08/14/2015,"96.40","96.68","96.09","96.59"
08/13/2015,"96.35","96.81","96.12","96.36"
08/12/2015,"97.18","97.33","95.93","96.29"
08/11/2015,"97.19","97.59","96.88","97.21"
08/10/2015,"97.80","97.92","97.04","97.19"
08/07/2015,"97.80","98.33","97.51","97.56"
08/06/2015,"97.88","98.16","97.63","97.78"
08/05/2015,"97.93","98.22","97.64","97.90"
08/04/2015,"97.48","98.00","97.21","97.94"
08/03/2015,"97.47","97.58","97.16","97.45"
07/31/2015,"97.47","97.60","96.31","97.19"
07/30/2015,"97.13","97.77","97.17","97.49"
07/29/2015,"96.64","97.25","96.50","97.17"
07/28/2015,"96.58","96.97","96.47","96.65"
07/27/2015,"97.19","97.29","96.29","96.54"
07/24/2015,"97.19","97.62","97.12","97.24"
07/23/2015,"97.44","97.51","96.89","97.20"
07/22/2015,"97.34","97.79","97.11","97.45"
07/21/2015,"98.01","98.15","97.14","97.31"
07/20/2015,"97.66","98.15","97.74","98.05"
07/17/2015,"97.66","97.98","97.42","97.96"
07/16/2015,"97.12","97.76","97.17","97.66"
07/15/2015,"96.62","97.31","96.53","97.16"
07/14/2015,"96.79","97.05","96.27","96.61"
07/13/2015,"96.38","96.86","95.63","96.80"
07/10/2015,"96.38","96.40","95.45","96.03"
07/09/2015,"96.21","96.76","95.97","96.27"
07/08/2015,"96.70","96.88","96.12","96.22"
07/07/2015,"96.26","97.24","96.31","96.77"
07/06/2015,"96.08","96.63","96.02","96.26"
07/03/2015,"96.08","96.22","95.87","95.95"
07/02/2015,"96.33","96.42","95.87","96.07"
07/01/2015,"95.60","96.35","95.47","96.27"
06/30/2015,"95.05","95.68","94.85","95.53"
06/29/2015,"95.17","96.37","94.68","94.99"
06/26/2015,"95.17","95.67","95.08","95.40"
06/25/2015,"95.27","95.51","95.09","95.21"
06/24/2015,"95.38","95.54","94.93","95.28"
06/23/2015,"94.30","95.64","94.30","95.40"
06/22/2015,"94.03","94.45","93.81","94.32"
06/19/2015,"94.03","94.50","93.90","94.07"
06/18/2015,"94.22","94.23","93.56","94.01"
06/17/2015,"94.95","95.18","94.11","94.30"
06/16/2015,"94.84","95.23","94.56","94.96"
06/15/2015,"95.09","95.39","94.73","94.83"
06/12/2015,"95.09","95.68","94.69","94.97"
06/11/2015,"94.67","95.60","94.71","95.10"
06/10/2015,"95.17","95.23","94.32","94.61"
06/09/2015,"95.25","95.58","94.85","95.19"
06/08/2015,"95.80","96.55","95.05","95.25"
06/05/2015,"95.80","96.91","95.36","96.35"
06/04/2015,"95.42","95.62","94.65","95.58"
06/03/2015,"95.94","96.51","95.21","95.36"
06/02/2015,"97.44","97.53","95.67","95.94"
06/01/2015,"96.89","97.68","96.93","97.43"
05/29/2015,"96.89","97.19","96.75","96.89"
05/28/2015,"97.26","97.63","96.86","96.88"
05/27/2015,"97.23","97.78","96.89","97.30"
05/26/2015,"96.38","97.36","96.45","97.22"
05/25/2015,"95.39","96.48","96.17","96.38"
05/22/2015,"95.39","96.27","94.82","96.14"
05/21/2015,"95.58","95.65","94.97","95.40"
05/20/2015,"95.30","95.84","95.26","95.59"
05/19/2015,"94.13","95.47","94.09","95.31"
05/18/2015,"93.41","94.27","93.27","94.16"
05/15/2015,"93.41","94.03","93.14","93.23"
05/14/2015,"93.66","93.76","93.13","93.39"
05/13/2015,"94.56","94.59","93.46","93.62"
05/12/2015,"95.06","95.16","94.24","94.56"
05/11/2015,"94.64","95.26","94.80","95.03"
05/08/2015,"94.64","95.07","94.32","94.82"
05/07/2015,"94.15","94.83","93.89","94.62"
05/06/2015,"95.17","95.22","93.88","94.16"
05/05/2015,"95.43","95.95","94.88","95.14"
05/04/2015,"94.83","95.64","95.04","95.44"
05/01/2015,"94.83","95.40","94.50","95.21"
04/30/2015,"95.20","95.45","94.40","94.81"
04/29/2015,"96.10","96.18","94.68","95.21"
04/28/2015,"96.77","96.93","96.01","96.11"
04/27/2015,"97.34","97.28","96.47","96.86"
04/24/2015,"97.34","97.56","96.76","96.86"
04/23/2015,"98.06","98.43","97.15","97.31"
04/22/2015,"97.96","98.12","97.43","98.07"
04/21/2015,"97.93","98.46","97.64","97.98"
04/20/2015,"97.35","98.07","97.33","97.91"
04/17/2015,"97.64","97.82","97.00","97.45"
04/16/2015,"98.42","98.72","97.28","97.69"
04/15/2015,"98.78","99.36","98.22","98.40"
04/14/2015,"99.47","99.70","98.37","98.78"
04/13/2015,"99.49","99.99","99.23","99.51"
04/10/2015,"98.98","99.69","98.84","99.35"
04/09/2015,"98.03","99.18","98.04","98.97"
04/08/2015,"97.87","98.20","97.25","98.06"
04/07/2015,"97.06","98.02","96.93","97.91"
04/06/2015,"96.60","97.24","96.33","97.06"
04/03/2015,"98.18","98.28","97.33","97.53"
04/02/2015,"98.18","98.28","97.33","97.53"
04/01/2015,"98.40","98.64","97.98","98.12"
03/31/2015,"97.91","98.67","97.83","98.38"
03/30/2015,"97.40","98.07","97.42","97.96"
03/27/2015,"97.37","97.92","96.99","97.39"
03/26/2015,"96.90","97.55","96.17","97.43"
03/25/2015,"97.22","97.30","96.54","96.92"
03/24/2015,"96.89","97.38","96.39","97.24"
03/23/2015,"97.66","98.24","96.83","96.96"
03/20/2015,"99.05","99.12","97.45","97.80"
03/19/2015,"97.82","99.46","97.21","99.07"
03/18/2015,"99.63","99.80","96.63","97.82"
03/17/2015,"99.68","99.83","99.23","99.65"
03/16/2015,"100.33","100.27","99.32","99.70"
03/13/2015,"99.22","100.39","99.20","100.18"
03/12/2015,"99.68","100.06","98.65","99.27"
03/11/2015,"98.64","99.99","98.49","99.68"
03/10/2015,"97.73","98.81","97.78","98.67"
03/09/2015,"97.80","97.78","97.29","97.66"
03/06/2015,"96.32","97.73","96.30","97.72"
03/05/2015,"95.95","96.59","95.84","96.35"
03/04/2015,"95.36","96.06","95.32","95.91"
03/03/2015,"95.50","95.57","95.10","95.37"
03/02/2015,"95.36","95.51","95.06","95.47"
02/27/2015,"95.19","95.36","94.91","95.25"
02/26/2015,"94.19","95.36","94.06","95.26"
02/25/2015,"94.41","94.48","94.13","94.20"
02/24/2015,"94.57","94.99","94.43","94.48"
02/23/2015,"94.24","94.92","94.28","94.55"
02/20/2015,"94.41","94.79","94.05","94.25"
02/19/2015,"94.09","94.45","93.84","94.40"
02/18/2015,"94.14","94.53","93.99","94.10"
02/17/2015,"94.40","94.51","93.80","94.13"
02/16/2015,"94.18","94.31","93.90","94.19"
02/13/2015,"94.18","94.31","93.90","94.19"
02/12/2015,"94.90","94.97","93.98","94.18"
02/11/2015,"94.72","95.12","94.64","94.92"
02/10/2015,"94.55","94.88","94.40","94.74"
02/09/2015,"94.81","94.88","94.36","94.51"
02/06/2015,"93.60","94.76","93.52","94.65"
02/05/2015,"94.42","94.55","93.42","93.59"
02/04/2015,"93.75","94.59","93.61","94.57"
02/03/2015,"94.60","94.70","93.25","93.75"
02/02/2015,"94.67","94.88","94.37","94.56"
01/30/2015,"94.66","94.92","94.43","94.85"
01/29/2015,"94.60","95.01","94.33","94.68"
01/28/2015,"94.12","94.69","93.97","94.63"
01/27/2015,"94.91","95.01","93.70","94.08"
01/26/2015,"95.47","95.33","94.59","94.93"
01/23/2015,"94.21","95.48","94.11","94.99"
01/22/2015,"92.82","94.50","92.48","94.20"
01/21/2015,"93.08","93.09","92.15","92.71"
01/20/2015,"92.62","93.10","92.55","93.00"
