Date,Open,High,Low,Close
12/29/2017,"92.67","92.67","92.08","92.12"
12/28/2017,"93.00","93.02","92.57","92.60"
12/27/2017,"93.30","93.31","92.96","93.03"
12/26/2017,"93.25","93.40","93.20","93.26"
12/25/2017,"93.37","93.56","93.31","93.35"
12/22/2017,"93.37","93.56","93.31","93.35"
12/21/2017,"93.31","93.50","93.24","93.28"
12/20/2017,"93.50","93.54","93.16","93.31"
12/19/2017,"93.71","93.76","93.43","93.44"
12/18/2017,"93.98","94.03","93.38","93.70"
12/15/2017,"93.65","94.00","93.41","93.93"
12/14/2017,"93.41","93.76","93.28","93.49"
12/13/2017,"94.06","94.11","93.40","93.43"
12/12/2017,"93.91","94.22","93.76","94.10"
12/11/2017,"93.92","93.98","93.67","93.87"
12/08/2017,"93.79","94.09","93.77","93.90"
12/07/2017,"93.54","93.80","93.51","93.80"
12/06/2017,"93.31","93.65","93.17","93.61"
12/05/2017,"93.09","93.49","93.04","93.38"
12/04/2017,"93.22","93.36","93.07","93.19"
12/01/2017,"93.03","93.25","92.60","92.89"
11/30/2017,"93.26","93.51","92.73","93.05"
11/29/2017,"93.22","93.44","92.99","93.16"
11/28/2017,"92.89","93.34","92.83","93.27"
11/27/2017,"92.69","92.98","92.50","92.90"
11/24/2017,"93.13","93.25","92.68","92.78"
11/23/2017,"93.30","93.31","93.07","93.22"
11/22/2017,"93.93","93.96","93.21","93.22"
11/21/2017,"94.04","94.17","93.88","93.95"
11/20/2017,"93.71","94.10","93.58","94.08"
11/17/2017,"93.87","93.93","93.51","93.66"
11/16/2017,"93.84","94.00","93.77","93.93"
11/15/2017,"93.86","93.93","93.40","93.81"
11/14/2017,"94.52","94.54","93.75","93.83"
11/13/2017,"94.41","94.64","94.40","94.49"
11/10/2017,"94.50","94.65","94.26","94.39"
11/09/2017,"94.88","94.96","94.42","94.44"
11/08/2017,"94.80","94.97","94.78","94.87"
11/07/2017,"94.72","95.15","94.70","94.91"
11/06/2017,"94.91","95.08","94.69","94.76"
11/03/2017,"94.73","95.02","94.41","94.94"
11/02/2017,"94.80","94.80","94.41","94.69"
11/01/2017,"94.55","94.85","94.51","94.82"
10/31/2017,"94.54","94.70","94.45","94.55"
10/30/2017,"94.79","94.90","94.44","94.56"
10/27/2017,"94.72","95.15","94.73","94.92"
10/26/2017,"93.63","94.72","93.48","94.61"
10/25/2017,"93.94","94.01","93.61","93.71"
10/24/2017,"93.83","93.99","93.68","93.77"
10/23/2017,"93.84","94.02","93.68","93.94"
10/20/2017,"93.16","93.78","93.12","93.70"
10/19/2017,"93.42","93.55","93.06","93.27"
10/18/2017,"93.48","93.80","93.36","93.36"
10/17/2017,"93.32","93.73","93.28","93.49"
10/16/2017,"93.08","93.36","93.08","93.31"
10/13/2017,"93.09","93.24","92.75","93.09"
10/12/2017,"92.95","93.23","92.80","93.06"
10/11/2017,"93.26","93.37","92.90","93.02"
10/10/2017,"93.73","93.74","93.14","93.29"
10/09/2017,"93.77","93.84","93.62","93.68"
10/06/2017,"93.92","94.27","93.77","93.80"
10/05/2017,"93.48","93.99","93.41","93.96"
10/04/2017,"93.59","93.58","93.26","93.46"
10/03/2017,"93.60","93.92","93.43","93.57"
10/02/2017,"93.29","93.66","93.12","93.56"
09/29/2017,"93.17","93.27","92.95","93.08"
09/28/2017,"93.47","93.67","93.07","93.09"
09/27/2017,"93.04","93.61","93.01","93.36"
09/26/2017,"92.60","93.29","92.55","92.97"
09/25/2017,"92.15","92.72","92.21","92.65"
09/22/2017,"92.18","92.22","91.78","92.17"
09/21/2017,"92.47","92.66","92.10","92.26"
09/20/2017,"91.83","92.70","91.53","92.51"
09/19/2017,"91.98","92.05","91.75","91.79"
09/18/2017,"91.93","92.21","91.80","92.05"
09/15/2017,"92.00","92.17","91.58","91.87"
09/14/2017,"92.35","92.66","91.98","92.12"
09/13/2017,"91.88","92.53","91.71","92.52"
09/12/2017,"91.86","92.08","91.77","91.88"
09/11/2017,"91.32","91.99","91.42","91.88"
09/08/2017,"91.49","91.51","91.01","91.35"
09/07/2017,"92.20","92.25","91.41","91.66"
09/06/2017,"92.24","92.38","91.99","92.29"
09/05/2017,"92.60","92.73","92.18","92.25"
09/04/2017,"92.61","92.93","92.10","92.81"
09/01/2017,"92.61","92.93","92.10","92.81"
08/31/2017,"92.85","93.35","92.56","92.67"
08/30/2017,"92.30","92.95","92.25","92.88"
08/29/2017,"92.22","92.48","91.62","92.25"
08/28/2017,"92.36","92.55","92.17","92.21"
08/25/2017,"93.27","93.44","92.42","92.74"
08/24/2017,"93.16","93.38","93.14","93.28"
08/23/2017,"93.51","93.63","93.13","93.15"
08/22/2017,"93.14","93.58","93.06","93.55"
08/21/2017,"93.43","93.58","93.00","93.10"
08/18/2017,"93.68","93.76","93.33","93.43"
08/17/2017,"93.44","94.08","93.31","93.62"
08/16/2017,"93.84","94.15","93.47","93.54"
08/15/2017,"93.46","94.14","93.44","93.85"
08/14/2017,"93.09","93.50","93.05","93.41"
08/11/2017,"93.43","93.51","92.93","93.07"
08/10/2017,"93.50","93.81","93.32","93.40"
08/09/2017,"93.56","93.89","93.49","93.55"
08/08/2017,"93.45","93.88","93.24","93.65"
08/07/2017,"93.50","93.54","93.30","93.43"
08/04/2017,"92.76","93.77","92.70","93.54"
08/03/2017,"92.90","93.04","92.68","92.84"
08/02/2017,"93.06","93.16","92.55","92.84"
08/01/2017,"92.89","93.12","92.78","93.04"
07/31/2017,"93.36","93.54","92.78","92.86"
07/28/2017,"93.87","93.95","93.26","93.26"
07/27/2017,"93.46","94.10","93.15","93.86"
07/26/2017,"94.09","94.29","93.37","93.67"
07/25/2017,"94.03","94.12","93.64","94.05"
07/24/2017,"93.95","94.12","93.82","93.98"
07/21/2017,"94.30","94.36","93.85","93.86"
07/20/2017,"94.77","95.17","94.09","94.31"
07/19/2017,"94.69","94.89","94.64","94.78"
07/18/2017,"95.16","95.19","94.48","94.60"
07/17/2017,"95.10","95.35","95.02","95.13"
07/14/2017,"95.80","95.83","95.09","95.15"
07/13/2017,"95.85","95.92","95.46","95.73"
07/12/2017,"95.71","95.98","95.51","95.77"
07/11/2017,"96.07","96.21","95.65","95.76"
07/10/2017,"96.04","96.20","95.95","96.06"
07/07/2017,"95.80","96.15","95.75","96.00"
07/06/2017,"96.19","96.34","95.79","95.81"
07/05/2017,"96.19","96.51","96.07","96.19"
07/04/2017,"96.16","96.33","96.05","96.26"
07/03/2017,"95.64","96.24","95.63","96.20"
06/30/2017,"95.54","95.83","95.47","95.63"
06/29/2017,"96.04","96.05","95.53","95.56"
06/28/2017,"96.43","96.62","95.97","96.04"
06/27/2017,"97.43","97.45","96.34","96.48"
06/26/2017,"97.30","97.47","97.11","97.42"
06/23/2017,"97.56","97.58","97.18","97.30"
06/22/2017,"97.55","97.65","97.43","97.54"
06/21/2017,"97.73","97.80","97.52","97.56"
06/20/2017,"97.54","97.87","97.43","97.75"
06/19/2017,"97.11","97.58","97.05","97.52"
06/16/2017,"97.48","97.56","97.10","97.16"
06/15/2017,"96.93","97.56","96.84","97.47"
06/14/2017,"97.01","97.13","96.32","96.96"
06/13/2017,"97.17","97.28","96.95","97.00"
06/12/2017,"97.27","97.32","97.04","97.16"
06/09/2017,"97.18","97.50","97.15","97.28"
06/08/2017,"96.71","97.23","96.59","97.21"
06/07/2017,"96.54","96.98","96.51","96.69"
06/06/2017,"96.79","96.80","96.52","96.53"
06/05/2017,"96.68","96.97","96.70","96.80"
06/02/2017,"97.19","97.31","96.65","96.67"
06/01/2017,"96.99","97.32","96.90","97.20"
05/31/2017,"97.43","97.50","96.86","96.98"
05/30/2017,"97.63","97.78","97.22","97.40"
05/29/2017,"97.45","97.61","97.33","97.59"
05/26/2017,"97.23","97.55","97.04","97.40"
05/25/2017,"97.07","97.28","96.88","97.20"
05/24/2017,"97.34","97.47","97.03","97.10"
05/23/2017,"96.95","97.42","96.80","97.34"
05/22/2017,"97.16","97.44","96.80","96.99"
05/19/2017,"97.85","97.85","97.08","97.12"
05/18/2017,"97.44","98.07","97.37","97.88"
05/17/2017,"98.09","98.13","97.33","97.39"
05/16/2017,"98.88","98.89","98.08","98.19"
05/15/2017,"99.17","99.26","98.79","98.88"
05/12/2017,"99.63","99.70","99.16","99.19"
05/11/2017,"99.66","99.89","99.49","99.65"
05/10/2017,"99.48","99.72","99.37","99.63"
05/09/2017,"99.14","99.69","99.08","99.54"
05/08/2017,"98.50","99.18","98.60","99.16"
05/05/2017,"98.77","98.98","98.54","98.58"
05/04/2017,"99.35","99.46","98.71","98.78"
05/03/2017,"98.92","99.39","98.89","99.38"
05/02/2017,"99.07","99.22","98.92","98.95"
05/01/2017,"98.94","99.21","98.89","99.13"
04/28/2017,"99.17","99.25","98.72","99.04"
04/27/2017,"98.95","99.33","98.81","99.15"
04/26/2017,"98.85","99.33","98.73","98.98"
04/25/2017,"99.05","99.22","98.70","98.84"
04/24/2017,"99.75","99.33","98.91","99.04"
04/21/2017,"99.83","100.03","99.65","99.98"
04/20/2017,"99.78","99.85","99.37","99.84"
04/19/2017,"99.51","99.89","99.51","99.81"
04/18/2017,"100.34","100.40","99.47","99.50"
04/17/2017,"100.49","100.47","100.00","100.30"
04/14/2017,"100.16","100.60","100.01","100.58"
04/13/2017,"100.16","100.60","100.01","100.58"
04/12/2017,"100.73","100.82","100.09","100.18"
04/11/2017,"100.97","101.08","100.58","100.71"
04/10/2017,"101.15","101.34","100.94","101.01"
04/07/2017,"100.73","101.26","100.52","101.13"
04/06/2017,"100.50","100.77","100.38","100.72"
04/05/2017,"100.52","100.85","100.41","100.52"
04/04/2017,"100.49","100.73","100.42","100.49"
04/03/2017,"100.51","100.69","100.37","100.49"
