Date,Open,High,Low,Close
12/31/2019,"96.73","96.73","96.36","96.39"
12/30/2019,"97.02","97.00","96.61","96.74"
12/27/2019,"97.54","97.55","96.92","96.92"
12/26/2019,"97.63","97.71","97.49","97.53"
12/25/2019,"97.67","97.73","96.54","97.44"
12/24/2019,"97.66","97.80","97.62","97.65"
12/23/2019,"97.67","97.82","97.58","97.66"
12/20/2019,"97.40","97.76","97.38","97.69"
12/19/2019,"97.40","97.49","97.22","97.38"
12/18/2019,"97.24","97.48","97.22","97.40"
12/17/2019,"97.14","97.30","97.03","97.22"
12/16/2019,"97.18","97.16","96.93","97.02"
12/13/2019,"96.78","97.24","96.72","97.17"
12/12/2019,"97.08","97.52","96.59","97.40"
12/11/2019,"97.51","97.60","97.04","97.41"
12/10/2019,"97.65","97.66","97.40","97.41"
12/09/2019,"97.68","97.72","97.56","97.64"
12/06/2019,"97.38","97.84","97.36","97.70"
12/05/2019,"97.59","97.60","97.36","97.41"
12/04/2019,"97.71","97.79","97.43","97.65"
12/03/2019,"97.89","97.94","97.64","97.74"
12/02/2019,"98.27","98.38","97.81","97.86"
11/29/2019,"98.35","98.54","98.23","98.27"
11/28/2019,"98.34","98.40","98.26","98.37"
11/27/2019,"98.30","98.44","98.28","98.37"
11/26/2019,"98.33","98.38","98.23","98.25"
11/25/2019,"98.27","98.38","98.17","98.32"
11/22/2019,"97.93","98.31","97.84","98.27"
11/21/2019,"97.86","98.03","97.73","97.99"
11/20/2019,"97.85","98.04","97.85","97.93"
11/19/2019,"97.81","97.89","97.75","97.86"
11/18/2019,"97.98","97.98","97.68","97.79"
11/15/2019,"98.17","98.23","97.96","98.00"
11/14/2019,"98.34","98.42","98.11","98.16"
11/13/2019,"98.33","98.45","98.29","98.37"
11/12/2019,"98.21","98.42","98.21","98.31"
11/11/2019,"98.37","98.38","98.13","98.20"
11/08/2019,"98.14","98.40","98.10","98.35"
11/07/2019,"97.95","98.23","97.82","98.14"
11/06/2019,"97.94","97.98","97.78","97.95"
11/05/2019,"97.55","98.01","97.47","97.98"
11/04/2019,"97.22","97.58","97.17","97.51"
11/01/2019,"97.30","97.45","97.11","97.24"
10/31/2019,"97.44","97.45","97.22","97.35"
10/30/2019,"97.67","98.00","97.45","97.65"
10/29/2019,"97.76","97.93","97.61","97.69"
10/28/2019,"97.85","97.89","97.67","97.76"
10/25/2019,"97.69","97.90","97.57","97.83"
10/24/2019,"97.46","97.78","97.28","97.63"
10/23/2019,"97.49","97.65","97.42","97.49"
10/22/2019,"97.31","97.57","97.26","97.53"
10/21/2019,"97.34","97.40","97.15","97.33"
10/18/2019,"97.60","97.66","97.14","97.28"
10/17/2019,"97.99","98.11","97.50","97.61"
10/16/2019,"98.32","98.42","97.90","98.00"
10/15/2019,"98.45","98.65","98.21","98.29"
10/14/2019,"98.36","98.53","98.34","98.45"
10/11/2019,"98.70","98.74","98.20","98.30"
10/10/2019,"98.98","99.07","98.62","98.70"
10/09/2019,"99.09","99.16","98.90","99.12"
10/08/2019,"98.98","98.98","98.97","98.97"
10/07/2019,"98.82","99.01","98.74","98.97"
10/04/2019,"98.87","99.00","98.74","98.81"
10/03/2019,"99.03","99.19","98.64","98.86"
10/02/2019,"99.16","99.42","98.96","99.02"
10/01/2019,"99.40","99.67","99.07","99.13"
09/30/2019,"99.12","99.46","99.05","99.38"
09/27/2019,"99.19","99.31","98.99","99.11"
09/26/2019,"98.96","99.28","98.84","99.13"
09/25/2019,"98.38","99.06","98.36","99.04"
09/24/2019,"98.64","98.71","98.29","98.34"
09/23/2019,"98.51","98.83","98.45","98.60"
09/20/2019,"98.57","98.62","98.20","98.27"
