Date,Open,High,Low,Close
12/30/2022,"103.95","104.10","103.39","103.52"
12/29/2022,"104.37","104.45","103.78","103.84"
12/28/2022,"104.33","104.56","103.85","104.46"
12/27/2022,"104.12","104.40","103.89","104.18"
12/23/2022,"104.39","104.54","104.12","104.33"
12/22/2022,"104.22","104.60","103.75","104.43"
12/21/2022,"103.95","104.38","103.85","104.16"
12/20/2022,"104.73","104.79","103.78","103.97"
12/19/2022,"104.84","104.93","104.13","104.72"
12/16/2022,"104.45","104.84","104.21","104.70"
12/15/2022,"103.67","104.88","103.54","104.56"
12/14/2022,"104.07","104.16","103.45","103.77"
12/13/2022,"104.99","105.10","103.59","103.98"
12/12/2022,"104.93","105.25","104.67","105.13"
12/09/2022,"104.86","105.14","104.48","104.81"
12/08/2022,"105.20","105.43","104.72","104.77"
12/07/2022,"105.63","105.82","104.88","105.10"
12/06/2022,"105.16","105.63","104.89","105.58"
12/05/2022,"104.51","105.40","104.11","105.29"
12/02/2022,"104.82","105.59","104.38","104.55"
12/01/2022,"105.70","105.90","104.66","104.73"
11/30/2022,"106.72","107.20","105.78","105.95"
11/29/2022,"106.57","106.88","106.06","106.82"
11/28/2022,"106.06","106.75","105.32","106.68"
11/25/2022,"105.96","106.42","105.69","105.96"
11/24/2022,"105.99","106.07","105.63","106.08"
11/23/2022,"107.08","107.22","106.03","106.08"
11/22/2022,"107.70","107.75","107.12","107.22"
11/21/2022,"106.97","107.99","106.89","107.84"
11/18/2022,"106.69","107.04","106.34","106.93"
11/17/2022,"106.27","107.24","106.10","106.69"
11/16/2022,"106.58","106.78","105.86","106.28"
11/15/2022,"107.00","107.10","105.34","106.40"
11/14/2022,"106.81","107.27","106.48","106.66"
11/11/2022,"108.24","108.44","106.28","106.29"
11/10/2022,"110.30","110.99","107.71","108.21"
11/09/2022,"109.65","110.64","109.45","110.55"
11/08/2022,"110.06","110.61","109.37","109.64"
11/07/2022,"111.17","111.27","110.05","110.12"
11/04/2022,"112.97","112.99","110.72","110.88"
11/03/2022,"112.17","113.15","111.82","112.93"
11/02/2022,"111.54","112.15","110.43","111.35"
11/01/2022,"111.52","111.78","110.72","111.48"
10/31/2022,"110.67","111.67","110.72","111.53"
10/28/2022,"110.50","111.04","110.29","110.75"
10/27/2022,"109.62","110.62","109.54","110.59"
10/26/2022,"110.96","111.14","109.63","109.70"
10/25/2022,"111.82","112.13","110.76","110.95"
10/24/2022,"111.88","112.53","111.47","111.99"
10/21/2022,"112.94","113.94","111.70","112.01"
10/20/2022,"112.99","113.09","112.17","112.88"
10/19/2022,"111.91","113.10","111.92","112.98"
10/18/2022,"112.07","112.46","111.77","112.13"
10/17/2022,"113.22","113.22","111.92","112.04"
10/14/2022,"112.47","113.42","112.16","113.31"
10/13/2022,"113.24","113.92","112.15","112.36"
10/12/2022,"113.31","113.59","113.05","113.32"
10/11/2022,"113.08","113.50","112.41","113.22"
10/10/2022,"112.84","113.33","112.62","113.14"
10/07/2022,"112.25","112.88","111.95","112.80"
10/06/2022,"111.02","112.31","110.78","112.26"
10/05/2022,"110.23","111.74","110.09","110.07"
10/04/2022,"111.59","111.89","110.06","110.07"
10/03/2022,"112.17","112.54","111.47","111.75"
09/30/2022,"111.75","112.67","111.58","112.12"
09/29/2022,"113.01","113.79","111.77","112.25"
09/28/2022,"114.19","114.78","112.56","112.60"
09/27/2022,"114.02","114.02","114.10","114.10"
09/26/2022,"113.02","114.53","112.94","114.10"
09/23/2022,"111.24","113.23","111.08","113.19"
09/22/2022,"111.48","111.81","110.46","111.35"
09/21/2022,"110.16","111.58","110.13","110.64"
09/20/2022,"109.58","110.29","109.36","110.22"
09/19/2022,"109.64","110.18","109.49","109.74"
09/16/2022,"109.80","110.26","109.48","109.76"
09/15/2022,"109.61","109.66","109.61","109.66"
09/14/2022,"109.97","109.93","109.28","109.66"
09/13/2022,"108.23","110.01","107.68","109.82"
09/12/2022,"108.60","108.86","107.81","108.33"
09/09/2022,"109.58","109.54","108.36","109.00"
09/08/2022,"109.67","110.24","109.33","109.71"
09/07/2022,"110.32","110.79","109.53","109.84"
09/06/2022,"109.60","110.55","109.38","110.21"
09/05/2022,"109.61","110.27","109.72","109.83"
09/02/2022,"109.64","109.72","108.93","109.53"
09/01/2022,"108.84","109.98","108.77","109.69"
08/31/2022,"108.75","109.20","108.38","108.70"
08/30/2022,"108.70","109.11","108.29","108.77"
08/29/2022,"108.88","109.48","108.49","108.84"
08/26/2022,"108.47","108.87","107.59","108.80"
08/25/2022,"108.63","108.69","107.99","108.47"
08/24/2022,"108.52","109.11","108.36","108.68"
08/23/2022,"109.00","109.27","108.08","108.62"
08/22/2022,"108.09","109.10","108.08","109.05"
08/19/2022,"107.50","108.22","107.47","108.17"
08/18/2022,"106.68","107.56","106.51","107.48"
08/17/2022,"106.45","106.89","106.31","106.57"
08/16/2022,"106.48","106.94","106.32","106.50"
08/15/2022,"105.66","106.55","105.55","106.55"
08/12/2022,"105.16","105.88","105.09","105.63"
08/11/2022,"105.21","105.46","104.65","105.09"
08/10/2022,"106.34","106.40","104.64","105.20"
08/09/2022,"106.34","106.41","105.97","106.37"
08/08/2022,"106.60","106.80","106.09","106.44"
08/05/2022,"105.72","106.93","105.69","106.62"
08/04/2022,"106.48","106.51","105.67","105.69"
08/03/2022,"106.43","106.82","105.97","106.51"
08/02/2022,"105.36","106.35","105.05","106.24"
08/01/2022,"105.88","106.03","105.24","105.45"
07/29/2022,"106.21","106.66","105.54","105.90"
07/28/2022,"106.37","106.98","106.06","106.35"
07/27/2022,"107.13","107.43","106.26","106.45"
07/26/2022,"106.45","107.28","106.20","107.19"
07/25/2022,"106.59","107.36","106.11","106.73"
07/22/2022,"106.59","107.36","106.11","106.73"
07/21/2022,"107.09","107.32","106.42","106.91"
07/20/2022,"106.67","107.26","106.39","107.08"
07/19/2022,"107.49","107.63","106.40","106.68"
07/18/2022,"108.01","108.04","106.89","107.37"
07/15/2022,"108.67","108.71","107.91","108.06"
07/14/2022,"108.14","109.29","108.20","108.54"
07/13/2022,"108.19","108.58","107.48","107.96"
07/12/2022,"108.18","108.56","107.84","108.07"
07/11/2022,"106.93","108.27","106.92","108.02"
07/08/2022,"107.04","107.79","106.81","107.01"
07/07/2022,"107.07","107.24","106.71","107.13"
07/06/2022,"106.49","107.26","106.36","107.10"
07/05/2022,"105.14","106.79","105.05","106.54"
07/04/2022,"105.14","105.25","104.82","105.14"
07/01/2022,"104.78","105.64","104.74","105.14"
06/30/2022,"105.06","105.54","104.65","104.69"
06/29/2022,"104.46","105.15","104.36","105.11"
06/28/2022,"103.97","104.61","103.77","104.51"
06/27/2022,"104.12","104.21","103.67","103.94"
06/24/2022,"104.38","104.51","103.95","104.19"
06/23/2022,"104.21","104.77","104.06","104.43"
06/22/2022,"104.43","104.95","103.86","104.20"
06/21/2022,"104.44","104.54","103.94","104.44"
06/20/2022,"104.65","104.82","104.23","104.70"
06/17/2022,"103.88","105.09","103.83","104.70"
06/16/2022,"104.90","105.49","103.42","103.63"
06/15/2022,"105.35","105.79","104.66","105.16"
06/14/2022,"105.19","105.65","104.62","105.52"
06/13/2022,"104.21","105.29","104.21","105.08"
06/10/2022,"103.34","104.23","103.05","104.15"
06/09/2022,"102.56","103.37","102.15","103.22"
06/08/2022,"102.39","102.78","102.27","102.54"
06/07/2022,"102.49","102.84","102.26","102.32"
06/06/2022,"102.16","102.47","101.85","102.44"
06/03/2022,"101.75","102.23","101.64","102.14"
06/02/2022,"102.55","102.62","101.74","101.82"
06/01/2022,"101.76","102.73","101.74","102.50"
05/31/2022,"101.44","102.17","101.41","101.75"
05/30/2022,"101.66","101.72","101.30","101.67"
05/27/2022,"101.72","101.94","101.43","101.67"
05/26/2022,"102.02","102.27","101.74","101.83"
05/25/2022,"101.77","102.45","101.73","102.06"
05/24/2022,"102.11","102.32","101.65","101.86"
05/23/2022,"103.04","103.05","102.04","102.08"
05/20/2022,"102.90","103.26","102.77","103.15"
05/19/2022,"103.83","103.88","102.66","102.72"
05/18/2022,"103.34","103.93","103.19","103.81"
05/17/2022,"104.17","104.23","103.23","103.36"
05/16/2022,"104.47","104.64","104.14","104.19"
05/13/2022,"104.77","105.01","104.47","104.56"
05/12/2022,"104.01","104.93","103.88","104.85"
05/11/2022,"103.90","104.11","103.37","103.85"
05/10/2022,"103.73","103.98","103.50","103.92"
05/09/2022,"103.66","104.19","103.39","103.65"
05/06/2022,"103.56","104.06","103.19","103.66"
05/05/2022,"102.68","103.94","102.35","103.75"
05/04/2022,"103.46","103.62","102.46","102.59"
05/03/2022,"103.60","103.67","103.03","103.47"
05/02/2022,"103.18","103.75","103.11","103.74"
04/29/2022,"103.67","103.67","102.82","102.96"
04/28/2022,"103.04","103.93","102.98","103.62"
04/27/2022,"102.28","103.28","102.22","102.95"
04/26/2022,"101.73","101.75","101.73","101.75"
04/25/2022,"101.07","101.86","101.04","101.75"
04/22/2022,"100.62","101.33","100.47","101.22"
04/21/2022,"100.35","100.64","99.82","100.58"
04/20/2022,"100.98","101.04","100.22","100.39"
04/19/2022,"100.83","101.03","100.70","100.96"
04/18/2022,"100.50","100.86","100.46","100.78"
04/15/2022,"100.42","100.57","100.40","100.50"
04/14/2022,"99.79","100.76","99.57","100.32"
04/13/2022,"100.34","100.52","99.83","99.88"
04/12/2022,"100.04","100.33","99.74","100.29"
04/11/2022,"99.84","100.05","99.62","99.93"
04/08/2022,"99.82","100.19","99.74","99.80"
04/07/2022,"99.65","99.83","99.40","99.75"
04/06/2022,"99.47","99.77","99.31","99.60"
04/05/2022,"99.00","99.52","98.84","99.47"
