"DateTime","BTC price","Google Trends"
"2011-05-08 00:00:00",3.848668377,14
"2011-05-09 00:00:00",3.8040895821,17
"2011-05-10 00:00:00",5.6516670023,15
"2011-05-11 00:00:00",5.4397510438,15
"2011-05-12 00:00:00",6.3348786943,16
"2011-05-13 00:00:00",8.1390348673,18
"2011-05-14 00:00:00",7.0072438293,20
"2011-05-15 00:00:00",6.9249248445,20
"2011-05-16 00:00:00",7.8851407452,70
"2011-05-17 00:00:00",7.2571995406,50
"2011-05-18 00:00:00",6.7631633624,38
"2011-05-19 00:00:00",6.8901436324,77
"2011-05-20 00:00:00",5.6180962186,65
"2011-05-21 00:00:00",6.0848006674,44
"2011-05-22 00:00:00",6.7119560397,38
"2011-05-23 00:00:00",7.0652567838,41
"2011-05-24 00:00:00",7.4026605821,43
"2011-05-25 00:00:00",8.5692896371,74
"2011-05-26 00:00:00",8.7821554342,50
"2011-05-27 00:00:00",8.5286584681,40
"2011-05-28 00:00:00",8.3492691198,40
"2011-05-29 00:00:00",8.4009534722,46
"2011-05-30 00:00:00",8.7793424646,42
"2011-05-31 00:00:00",8.721576422,100
"2011-06-01 00:00:00",9.623777232,87
"2011-06-02 00:00:00",10.7027602279,61
"2011-06-03 00:00:00",14.2646467738,60
"2011-06-04 00:00:00",18.3127387259,56
"2011-06-05 00:00:00",16.5433423963,60
"2011-06-06 00:00:00",18.4020986441,59
"2011-06-07 00:00:00",23.2378784629,52
"2011-06-08 00:00:00",29.0299213267,75
"2011-06-09 00:00:00",28.7905440181,75
"2011-06-10 00:00:00",24.0493992285,73
"2011-06-11 00:00:00",14.7497466277,100
"2011-06-12 00:00:00",18.8501447312,99
"2011-06-13 00:00:00",19.5423291146,80
"2011-06-14 00:00:00",19.2577355056,80
"2011-06-15 00:00:00",19.4641426242,88
"2011-06-16 00:00:00",17.9293625424,89
"2011-06-17 00:00:00",15.4363689129,79
"2011-06-18 00:00:00",16.8754045354,73
"2011-06-19 00:00:00",17.5107167914,79
"2011-06-20 00:00:00",17.5107167914,99
"2011-06-21 00:00:00",17.5107167914,74
"2011-06-22 00:00:00",17.5107167914,74
"2011-06-23 00:00:00",17.5107167914,60
"2011-06-24 00:00:00",17.5107167914,49
"2011-06-25 00:00:00",17.5107167914,40
"2011-06-26 00:00:00",16.3613420158,48
"2011-06-27 00:00:00",16.7522858133,42
"2011-06-28 00:00:00",16.9618353071,41
"2011-06-29 00:00:00",16.8545683179,37
"2011-06-30 00:00:00",16.1852627808,34
"2011-07-01 00:00:00",15.4203573992,33
"2011-07-02 00:00:00",15.3828440696,34
"2011-07-03 00:00:00",15.4575505605,35
"2011-07-04 00:00:00",13.8527968124,33
"2011-07-05 00:00:00",12.9648177148,32
